Aufwärmen ohne Heizung;;;Aufwärmen mit Heizung;;
Zeit;Temperatur;Temperatur;Zeit;NiCr-Ni-Element;NiCr-Ni-Element
t / s;U / mV;; Sekunden;( mV );
;;;0;-5,844;-197
0;-5,785;-194;3;-5,831;-197
10;-5,784;-194;6;-5,815;-196
20;-5,766;-193;9;-5,804;-195
30;-5,757;-192;12;-5,792;-194
40;-5,749;-192;15;-5,78;-194
50;-5,74;-191;18;-5,768;-193
60;-5,732;-191;21;-5,755;-192
70;-5,725;-190;24;-5,742;-191
80;-5,717;-190;27;-5,729;-190
90;-5,71;-189;30;-5,717;-190
100;-5,703;-189;33;-5,704;-189
110;-5,697;-189;36;-5,692;-188
120;-5,691;-188;39;-5,68;-188
130;-5,685;-188;42;-5,668;-187
140;-5,68;-188;45;-5,655;-186
150;-5,675;-187;48;-5,644;-186
160;-5,67;-187;51;-5,632;-185
170;-5,666;-187;54;-5,621;-184
180;-5,661;-187;57;-5,61;-184
190;-5,658;-186;60;-5,598;-183
200;-5,654;-186;63;-5,587;-182
210;-5,65;-186;66;-5,576;-182
220;-5,647;-186;69;-5,566;-181
230;-5,643;-186;72;-5,555;-181
240;-5,64;-185;75;-5,544;-180
250;-5,637;-185;78;-5,534;-180
260;-5,634;-185;81;-5,524;-179
270;-5,631;-185;84;-5,513;-179
280;-5,628;-185;87;-5,503;-178
290;-5,625;-185;90;-5,492;-177
300;-5,622;-184;93;-5,483;-177
310;-5,62;-184;96;-5,473;-176
320;-5,617;-184;99;-5,463;-176
330;-5,614;-184;102;-5,453;-175
340;-5,611;-184;105;-5,444;-175
350;-5,609;-184;108;-5,435;-175
360;-5,606;-184;111;-5,425;-174
370;-5,604;-183;114;-5,416;-174
380;-5,6;-183;117;-5,406;-173
390;-5,598;-183;120;-5,397;-173
400;-5,595;-183;123;-5,387;-172
410;-5,593;-183;126;-5,377;-172
420;-5,591;-183;129;-5,367;-171
430;-5,589;-183;132;-5,358;-171
440;-5,586;-182;135;-5,349;-170
450;-5,583;-182;138;-5,339;-170
460;-5,581;-182;141;-5,331;-169
470;-5,579;-182;144;-5,322;-169
480;-5,576;-182;147;-5,313;-169
490;-5,574;-182;150;-5,304;-168
500;-5,571;-182;153;-5,295;-168
510;-5,569;-182;156;-5,287;-167
520;-5,566;-181;159;-5,278;-167
530;-5,564;-181;162;-5,27;-166
540;-5,562;-181;165;-5,261;-166
550;-5,559;-181;168;-5,253;-166
560;-5,557;-181;171;-5,244;-165
570;-5,555;-181;174;-5,236;-165
580;-5,552;-181;177;-5,227;-164
590;-5,55;-181;180;-5,219;-164
600;-5,547;-180;183;-5,211;-164
610;-5,545;-180;186;-5,203;-163
620;-5,543;-180;189;-5,194;-163
630;-5,54;-180;192;-5,187;-163
640;-5,538;-180;195;-5,179;-162
650;-5,535;-180;198;-5,171;-162
660;-5,533;-180;201;-5,163;-162
670;-5,53;-179;204;-5,156;-161
680;-5,527;-179;207;-5,149;-161
690;-5,525;-179;210;-5,142;-161
700;-5,523;-179;213;-5,135;-160
710;-5,52;-179;216;-5,128;-160
720;-5,517;-179;219;-5,121;-160
730;-5,515;-179;222;-5,114;-159
740;-5,512;-179;225;-5,107;-159
750;-5,51;-178;228;-5,1;-159
760;-5,507;-178;231;-5,093;-158
770;-5,505;-178;234;-5,086;-158
780;-5,503;-178;237;-5,078;-158
790;-5,5;-178;240;-5,071;-157
800;-5,497;-178;243;-5,064;-157
810;-5,495;-178;246;-5,057;-157
820;-5,492;-177;249;-5,048;-156
830;-5,49;-177;252;-5,041;-156
840;-5,487;-177;255;-5,034;-156
850;-5,485;-177;258;-5,026;-155
860;-5,482;-177;261;-5,018;-155
870;-5,479;-177;264;-5,011;-155
880;-5,476;-177;267;-5,004;-154
890;-5,475;-177;270;-4,996;-154
900;-5,472;-176;273;-4,989;-154
910;-5,469;-176;276;-4,981;-153
920;-5,467;-176;279;-4,973;-153
930;-5,464;-176;282;-4,965;-153
940;-5,462;-176;285;-4,958;-152
950;-5,459;-176;288;-4,951;-152
960;-5,457;-176;291;-4,944;-152
970;-5,454;-176;294;-4,937;-152
980;-5,452;-175;297;-4,93;-151
990;-5,449;-175;300;-4,923;-151
1000;-5,447;-175;303;-4,916;-151
1010;-5,444;-175;306;-4,91;-150
1020;-5,442;-175;309;-4,903;-150
1030;-5,44;-175;312;-4,897;-150
1040;-5,437;-175;315;-4,89;-150
1050;-5,435;-175;318;-4,883;-149
1060;-5,432;-174;321;-4,877;-149
1070;-5,43;-174;324;-4,87;-149
1080;-5,428;-174;327;-4,864;-148
1090;-5,425;-174;330;-4,857;-148
1100;-5,423;-174;333;-4,85;-148
1110;-5,42;-174;336;-4,843;-148
1120;-5,418;-174;339;-4,837;-147
1130;-5,415;-174;342;-4,83;-147
1140;-5,412;-173;345;-4,823;-147
1150;-5,41;-173;348;-4,817;-147
1160;-5,408;-173;351;-4,81;-146
1170;-5,406;-173;354;-4,803;-146
1180;-5,403;-173;357;-4,797;-146
1190;-5,402;-173;360;-4,79;-145
1200;-5,399;-173;363;-4,784;-145
1210;-5,397;-173;366;-4,777;-145
1220;-5,394;-172;369;-4,77;-145
1230;-5,392;-172;372;-4,763;-144
1240;-5,389;-172;375;-4,757;-144
1250;-5,387;-172;378;-4,75;-144
1260;-5,385;-172;381;-4,743;-143
1270;-5,382;-172;384;-4,735;-143
1280;-5,38;-172;387;-4,729;-143
1290;-5,378;-172;390;-4,722;-143
1300;-5,376;-172;393;-4,715;-142
1310;-5,373;-171;396;-4,708;-142
1320;-5,371;-171;399;-4,701;-142
1330;-5,369;-171;402;-4,694;-142
1340;-5,367;-171;405;-4,687;-141
1350;-5,364;-171;408;-4,68;-141
1360;-5,361;-171;411;-4,674;-141
1370;-5,36;-171;414;-4,668;-140
1380;-5,357;-171;417;-4,661;-140
1390;-5,354;-171;420;-4,655;-140
1400;-5,352;-170;423;-4,648;-140
1410;-5,35;-170;426;-4,64;-139
1420;-5,347;-170;429;-4,633;-139
1430;-5,345;-170;432;-4,626;-139
1440;-5,343;-170;435;-4,618;-139
1450;-5,34;-170;438;-4,611;-138
1460;-5,338;-170;441;-4,604;-138
1470;-5,336;-170;444;-4,597;-138
1480;-5,334;-170;447;-4,59;-137
1490;-5,332;-169;450;-4,584;-137
1500;-5,33;-169;453;-4,577;-137
1510;-5,327;-169;456;-4,571;-137
1520;-5,323;-169;459;-4,565;-136
1530;-5,322;-169;462;-4,558;-136
1540;-5,319;-169;465;-4,551;-136
1550;-5,317;-169;468;-4,545;-136
1560;-5,314;-169;471;-4,538;-135
1570;-5,312;-168;474;-4,531;-135
1580;-5,309;-168;477;-4,524;-135
1590;-5,307;-168;480;-4,518;-135
1600;-5,305;-168;483;-4,511;-134
1610;-5,303;-168;486;-4,505;-134
1620;-5,3;-168;489;-4,498;-134
1630;-5,297;-168;492;-4,491;-134
1640;-5,295;-168;495;-4,484;-133
1650;-5,292;-168;498;-4,478;-133
1660;-5,29;-167;501;-4,472;-133
1670;-5,288;-167;504;-4,465;-133
1680;-5,286;-167;507;-4,458;-132
1690;-5,283;-167;510;-4,453;-132
1700;-5,281;-167;513;-4,447;-132
1710;-5,278;-167;516;-4,441;-132
1720;-5,275;-167;519;-4,434;-131
1730;-5,274;-167;522;-4,428;-131
1740;-5,271;-167;525;-4,421;-131
1750;-5,269;-166;528;-4,414;-131
1760;-5,267;-166;531;-4,408;-130
1770;-5,264;-166;534;-4,402;-130
1780;-5,262;-166;537;-4,395;-130
1790;-5,259;-166;540;-4,389;-130
1800;-5,257;-166;543;-4,383;-129
1810;-5,255;-166;546;-4,377;-129
1820;-5,252;-166;549;-4,371;-129
1830;-5,25;-166;552;-4,365;-129
1840;-5,248;-165;555;-4,358;-129
1850;-5,245;-165;558;-4,351;-128
1860;-5,243;-165;561;-4,345;-128
1870;-5,241;-165;564;-4,338;-128
1880;-5,238;-165;567;-4,333;-128
1890;-5,236;-165;570;-4,327;-127
1900;-5,234;-165;573;-4,321;-127
1910;-5,231;-165;576;-4,314;-127
1920;-5,229;-165;579;-4,308;-127
1930;-5,227;-164;582;-4,302;-126
1940;-5,224;-164;585;-4,295;-126
1950;-5,223;-164;588;-4,289;-126
1960;-5,22;-164;591;-4,283;-126
